,Barrio,Latitud_barrio,Longitud_barrio,IdRest,Lugar,Latitud_lugar,Longitud_lugar,Nota,Likes,Categoría
0,Los tilos,36.71368649705558,-4.436666123272114,4dfe5d18aeb7ea26f9abb036,Burger Kebab,36.7135387099502,-4.4392606257357965,7.9,12,Burger Joint
1,Los tilos,36.71368649705558,-4.436666123272114,4c4ae3735609c9b637df5490,Restaurante Los Marfiles,36.71527360919625,-4.4382704565900175,7.7,25,Spanish Restaurant
2,Los tilos,36.71368649705558,-4.436666123272114,524ad373498ec93429dc3ced,La Alvaroteca,36.71332539490465,-4.439399584409468,7.5,28,Tapas Restaurant
3,Los tilos,36.71368649705558,-4.436666123272114,4c7129af344437042512265f,El Pavone,36.71432030802544,-4.4391094214144315,7.4,11,Italian Restaurant
4,Los tilos,36.71368649705558,-4.436666123272114,4bb88c881261d13a1db0e898,La Cresta,36.71309517101065,-4.438154207681725,7.1,18,Spanish Restaurant
5,Los tilos,36.71368649705558,-4.436666123272114,4bb503a20fb7b713f7d2bf8a,La Tagliatella,36.71529810299304,-4.431495020119185,8.2,80,Italian Restaurant
6,Los tilos,36.71368649705558,-4.436666123272114,4e876da85c5cfd1dcc657cea,Domino's Pizza,36.713960937494754,-4.433263066506208,7.2,11,Pizza Place
7,Los tilos,36.71368649705558,-4.436666123272114,52944e31498e7e1cc6e20543,Granier Panes Artesanos,36.712787908430585,-4.432986665188229,7.3,9,Bakery
8,Los tilos,36.71368649705558,-4.436666123272114,4cb027f6cbab236a6e229e73,El Secreto,36.713690754890834,-4.4333764116754,7.0,8,Café
9,Los tilos,36.71368649705558,-4.436666123272114,4f6630cee4b0fb96f7635ee1,El Capricho,36.71375,-4.433398,6.9,4,Turkish Restaurant
10,Los tilos,36.71368649705558,-4.436666123272114,4ef337e949010b41f66825bf,La Ñora,36.71448822869794,-4.437157606652925,6.7,6,Restaurant
11,Los tilos,36.71368649705558,-4.436666123272114,4c7822ea794e224b1e266128,Burguer Dallas,36.71294371170928,-4.4359620770530075,6.5,6,Burger Joint
12,Los tilos,36.71368649705558,-4.436666123272114,4bdecaf0ffdec9285a9ae9a1,VIPS,36.711900765044206,-4.43308043446915,6.8,40,Restaurant
13,Los tilos,36.71368649705558,-4.436666123272114,4c0a81f9009a0f479b7be9bf,Foster's Hollywood,36.71174915391996,-4.433055624507523,6.6,43,American Restaurant
14,Los tilos,36.71368649705558,-4.436666123272114,4c59662404f9be9a2b20ef60,100 Montaditos,36.711929342809285,-4.432753558160035,6.4,31,Sandwich Place
15,Los tilos,36.71368649705558,-4.436666123272114,53c7b138498edeb14aeb833f,Mister Noodles,36.714144409702996,-4.431247528191334,6.5,14,Asian Restaurant
16,Los tilos,36.71368649705558,-4.436666123272114,56812806498e639d229e20e4,La Perica,36.712707,-4.431224,6.6,5,Bistro
17,Los tilos,36.71368649705558,-4.436666123272114,4bffe07bf61ea59367e3ea13,Pans & Company,36.71445410473761,-4.432498621968396,6.3,13,Sandwich Place
18,Los tilos,36.71368649705558,-4.436666123272114,57a5fb23498ec1f9eaff9370,Lizarran,36.71177,-4.431787,6.3,3,Tapas Restaurant
19,Los tilos,36.71368649705558,-4.436666123272114,509eb5c6e4b076197c36fbb2,Taco Bell,36.71196338414721,-4.432356646577947,6.1,25,Fast Food Restaurant
20,Los tilos,36.71368649705558,-4.436666123272114,50410dd6e4b0805b9ecf3101,Tomaquet,36.71203336501356,-4.432769714952517,5.9,14,Tapas Restaurant
