,Barrio,Latitud_barrio,Longitud_barrio,IdRest,Lugar,Latitud_lugar,Longitud_lugar,Nota,Likes,Categoría
33,Ensanche centro,36.71700711342794,-4.420589585684885,554d1d6d498eafc260542ab4,mura mura,36.721383248650106,-4.419819019066822,7.6,8,Gastropub
34,Ensanche centro,36.71700711342794,-4.420589585684885,4e614e1262e13e3bce26b8ac,Bar Málaga,36.72117179734476,-4.421331010413341,7.5,9,Spanish Restaurant
35,Ensanche centro,36.71700711342794,-4.420589585684885,4d11f2b30ad2f04d61c4a854,Eguzki Bar,36.714614897157375,-4.424884357429981,7.4,12,Restaurant
36,Ensanche centro,36.71700711342794,-4.420589585684885,4d72bfd8bce5721eff20d315,La Burguesita Malaga,36.72046000154842,-4.42130540967275,7.2,33,Burger Joint
37,Ensanche centro,36.71700711342794,-4.420589585684885,501e3d91e4b075c1f07c0efd,Kaleido Málaga Port,36.71818509037491,-4.415914219400699,7.2,58,Spanish Restaurant
38,Ensanche centro,36.71700711342794,-4.420589585684885,4f4a2e05e4b0962089405128,el gallo ronco,36.721024216800465,-4.420796984746503,7.1,20,Spanish Restaurant
39,Ensanche centro,36.71700711342794,-4.420589585684885,5225dd76498efda4d8a7d761,Bar Cafetería El Yerno,36.718471915192396,-4.42436079663616,6.9,6,Tapas Restaurant
40,Ensanche centro,36.71700711342794,-4.420589585684885,5936e8b66cf01a77c97118fa,Beluga,36.72031,-4.4220347,6.9,6,Restaurant
41,Ensanche centro,36.71700711342794,-4.420589585684885,4b9188c7f964a52087c333e3,Garum,36.720632371115386,-4.417299488114712,7.0,18,Spanish Restaurant
42,Ensanche centro,36.71700711342794,-4.420589585684885,529f935811d2629465842907,Nuevo Okami,36.7205302814401,-4.4179122181507235,6.6,25,Japanese Restaurant
43,Ensanche centro,36.71700711342794,-4.420589585684885,4daf389fa86e9639ef484cd8,La Tertulia,36.72045478806608,-4.417567692133005,5.0,13,Tapas Restaurant
44,Centro historico,36.72071959691778,-4.421059456825723,57330f77498ec2a4fab3bc40,Mia coffee shop,36.72224671860295,-4.422652925397896,9.4,44,Café
45,Centro historico,36.72071959691778,-4.421059456825723,537370da498ebf270bb1b4f5,Dulces Dreams Café Gallery,36.72232661993092,-4.4225882218008,8.9,23,Café
46,Centro historico,36.72071959691778,-4.421059456825723,5a43f52b7918710289236f3b,Pampa Grill,36.72151837772957,-4.420830692998769,8.5,14,Argentinian Restaurant
47,Centro historico,36.72071959691778,-4.421059456825723,4c87967f51ada1cdb0094910,Casa Lola,36.72206533497648,-4.418997870539572,9.0,169,Tapas Restaurant
48,Centro historico,36.72071959691778,-4.421059456825723,4b9cbd43f964a5201b7936e3,Lo Güeno de Strachan,36.71967281875966,-4.420382644234151,8.5,37,Tapas Restaurant
49,Centro historico,36.72071959691778,-4.421059456825723,51407a76e4b00ccf35393df7,El Refectorium Catedral,36.71977782785468,-4.418763407617984,8.7,62,Spanish Restaurant
50,Centro historico,36.72071959691778,-4.421059456825723,557ec82a498e1a9642eb7421,Nacalú,36.71937,-4.420385,8.3,9,Tapas Restaurant
51,Centro historico,36.72071959691778,-4.421059456825723,50b3b20ae4b0373657dd6e80,Taste of America,36.72287535031554,-4.421510129506755,8.7,145,Deli / Bodega
52,Centro historico,36.72071959691778,-4.421059456825723,4cc97848e7926dcb5f9f5c77,La Cosmopolita,36.72195919108497,-4.419889979582002,8.2,61,Mediterranean Restaurant
53,Centro historico,36.72071959691778,-4.421059456825723,4c68563531ba2d7f8f85f772,La Reserva 12,36.71931399002083,-4.420328561421043,8.2,63,Spanish Restaurant
54,Centro historico,36.72071959691778,-4.421059456825723,5674aaa8498eae8c7d6df549,garcía,36.720174842,-4.421708641,8.2,15,Bistro
55,Centro historico,36.72071959691778,-4.421059456825723,4da4279a22a5f04dba063255,Madeinterranea Food and Wine,36.72252969084648,-4.420252657425305,8.1,41,Spanish Restaurant
56,Centro historico,36.72071959691778,-4.421059456825723,57e43fddcd102cce8bfaa4cf,Terra Mia,36.721236369409496,-4.420155927733977,8.0,19,Italian Restaurant
57,Centro historico,36.72071959691778,-4.421059456825723,4dd6ba2852b1a5c6443b0b97,Souvi,36.7205174149203,-4.418266842986158,8.3,22,Mediterranean Restaurant
58,Centro historico,36.72071959691778,-4.421059456825723,4b767cf3f964a520994e2ee3,Casa Aranda,36.718871465576996,-4.423368454721759,8.7,273,Café
59,Centro historico,36.72071959691778,-4.421059456825723,596cf0771fa763356791342a,Brunchit España,36.71878550704465,-4.423532478184636,8.8,78,Restaurant
60,Centro historico,36.72071959691778,-4.421059456825723,50b3bf6ce412f944ee908ff0,L'Expérience,36.72011669845731,-4.42020567714256,8.0,59,Breakfast Spot
61,Centro historico,36.72071959691778,-4.421059456825723,57a49562498effbd324dfb0e,eboka,36.72107,-4.4180336,8.4,13,Comfort Food Restaurant
62,Centro historico,36.72071959691778,-4.421059456825723,4b7f0c23f964a520a71230e3,Lo Güeno,36.719236486952845,-4.422008718875675,7.9,55,Tapas Restaurant
63,Centro historico,36.72071959691778,-4.421059456825723,4b55c31ff964a520daee27e3,Uvedoble,36.720452376471194,-4.4176913892751974,8.5,95,Mediterranean Restaurant
64,Centro historico,36.72071959691778,-4.421059456825723,4e469687887781a619ac0fe4,Taberna Cofrade Las Merchanas,36.72266135196224,-4.422267286533801,8.1,71,Tapas Restaurant
65,Centro historico,36.72071959691778,-4.421059456825723,4c8513ffee6fef3bde9a395c,Dunkin' Coffee,36.7220207441219,-4.419306219614958,7.9,26,Donut Shop
66,Centro historico,36.72071959691778,-4.421059456825723,58554d4ffb549a6da2589323,Andino - Restaurante Latino,36.72029,-4.423927,8.1,7,South American Restaurant
67,Centro historico,36.72071959691778,-4.421059456825723,4c25e727136d20a13754e461,Marisquería Los Mellizos,36.718752706751886,-4.420867898319624,7.9,106,Seafood Restaurant
